12b,T°C,RT/R25,R2,U2,R1
1173,47.18054899760954,0.4014338066797057,4014.3380671852287,1.4317934543699802,10000.000000000002
1174,47.1495332879562,0.401915382623325,4019.1538266141056,1.4330213741322047,10000.0
1175,47.11853815032847,0.4023972687098941,4023.9726874725357,1.4342492142084942,10000.0
1176,47.08756358472633,0.4028794649394131,4028.7946497605176,1.4354769745988487,10000.0
1177,47.056609591149794,0.40336197131188184,4033.6197134780514,1.436704655303268,10000.0
1178,47.02567616959885,0.4038447878273004,4038.4478786251384,1.4379322563217525,10000.000000000002
1179,46.99476332007351,0.40432791448566874,4043.2791452017764,1.4391597776543015,10000.000000000002
1180,46.963871042573764,0.40481135128698686,4048.1135132079676,1.4403872193009155,10000.0
1181,46.93299933709962,0.4052950982312548,4052.950982643711,1.4416145812615946,10000.0
1182,46.90214820365109,0.4057791553184727,4057.7915535090074,1.4428418635363383,10000.000000000002
1183,46.87131764222815,0.40626352254864023,4062.6352258038546,1.4440690661251472,10000.0
1184,46.84050765283079,0.4067481999217576,4067.4819995282537,1.4452961890280205,10000.0
1185,46.809718235459044,0.4072331874378248,4072.331874682206,1.4465232322449588,10000.0
1186,46.77894939011289,0.4077184850968418,4077.1848512657116,1.4477501957759622,9999.999999999998
1187,46.74820111679234,0.40820409289880855,4082.0409292787676,1.4489770796210302,9999.999999999998
1188,46.717473415497395,0.40869001084372525,4086.9001087213774,1.4502038837801634,10000.0
1189,46.68676628622804,0.4091762389315917,4091.7623895935394,1.4514306082533615,10000.0
1190,46.656079728984295,0.4096627771624079,4096.627771895252,1.4526572530406245,10000.000000000002
1191,46.62541374376613,0.4101496255361739,4101.496255626518,1.4538838181419518,10000.0
1192,46.59476833057357,0.4106367840528897,4106.367840787337,1.4551103035573447,10000.0
1193,46.56414348940662,0.4111242527125553,4111.242527377707,1.456336709286802,10000.0
1194,46.53353922026526,0.4116120315151708,4116.12031539763,1.4575630353303246,10000.000000000002
1195,46.502955523149495,0.41210012046073596,4121.001204847104,1.4587892816879118,9999.999999999998
1196,46.472392398059334,0.412588519549251,4125.885195726132,1.4600154483595638,9999.999999999998
1197,46.44184984499478,0.41307722878071595,4130.772288034712,1.461241535345281,10000.0
1198,46.41132786395582,0.4135662481551306,4135.662481772844,1.462467542645063,10000.000000000002
1199,46.38082645494245,0.41405557767249507,4140.555776940528,1.4636934702589097,10000.000000000002
1200,46.35034561795468,0.41454521733280925,4145.452173537764,1.4649193181868212,9999.999999999998
1201,46.319885352992515,0.4150351671360734,4150.351671564553,1.466145086428798,10000.0
1202,46.28944566005595,0.4155254270822873,4155.254271020894,1.4673707749848395,10000.0
1203,46.259026539144976,0.41601599717145094,4160.159971906786,1.4685963838549454,9999.999999999998
1204,46.22862799025961,0.41650687740356446,4165.068774222233,1.469821913039117,10000.0
1205,46.19825001339984,0.41699806777862775,4169.98067796723,1.471047362537353,10000.0
1206,46.167892608565666,0.4174895682966409,4174.89568314178,1.4722727323496538,10000.0
1207,46.13755577575709,0.41798137895760373,4179.813789745882,1.4734980224760197,10000.0
1208,46.10723951497412,0.4184734997615165,4184.734997779537,1.4747232329164504,10000.0
1209,46.07694382621674,0.41896593070837895,4189.659307242744,1.4759483636709458,10000.0
1210,46.04666870948496,0.4194586717981913,4194.586718135502,1.4771734147395066,10000.0
1211,46.01641416477878,0.4199517230309535,4199.517230457815,1.478398386122132,10000.0
1212,45.98618019209821,0.4204450844066654,4204.450844209678,1.479623277818822,10000.0
1213,45.955966791443224,0.42093875592532715,4209.387559391093,1.4808480898295775,10000.0
1214,45.92577396281384,0.4214327375869387,4214.327376002062,1.4820728221543975,10000.0
1215,45.89560170621006,0.4219270293915,4219.2702940425825,1.4832974747932823,10000.0
1216,45.86545002163187,0.42242163133901117,4224.216313512655,1.4845220477462322,9999.999999999998
1217,45.83531890907929,0.42291654342947227,4229.165434412281,1.485746541013247,10000.000000000002
1218,45.80520836855231,0.42341176566288286,4234.117656741457,1.4869709545943264,10000.0
1219,45.775118400050914,0.42390729803924343,4239.0729805001865,1.4881952884894707,10000.0
1220,45.745049003575126,0.4244031405585539,4244.031405688468,1.48941954269868,10000.0
1221,45.71500017912493,0.424899293220814,4248.9929323063025,1.4906437172219542,10000.0
1222,45.68497192670034,0.4253957560260241,4253.957560353689,1.4918678120592934,10000.0
1223,45.65496424630134,0.4258925289741837,4258.925289830627,1.4930918272106972,9999.999999999998
1224,45.62497713792796,0.42638961206529347,4263.8961207371185,1.4943157626761663,10000.000000000002
1225,45.595010601580164,0.4268870052993528,4268.870053073161,1.4955396184557,10000.0
1226,45.56506463725796,0.427384708676362,4273.847086838757,1.4967633945492986,10000.0
1227,45.53513924496136,0.42788272219632106,4278.827222033904,1.497987090956962,10000.0
1228,45.505234424690364,0.4283810458592298,4283.810458658603,1.4992107076786902,9999.999999999998
1229,45.47535017644497,0.4288796796650885,4288.796796712856,1.5004342447144838,10000.0
1230,45.445486500225165,0.4293786236138969,4293.786236196661,1.501657702064342,9999.999999999998
1231,45.41564339603096,0.4298778777056551,4298.7787771100175,1.5028810797282648,9999.999999999998
1232,45.38582086386236,0.4303774419403632,4303.774419452927,1.5041043777062526,9999.999999999998
1233,45.35601890371936,0.43087731631802106,4308.773163225388,1.5053275959983057,9999.999999999998
1234,45.326237515601946,0.43137750083862875,4313.775008427401,1.5065507346044233,10000.0
1235,45.296476699510144,0.43187799550218614,4318.779955058967,1.5077737935246058,10000.0
1236,45.266736455443926,0.4323788003086934,4323.788003120085,1.5089967727588531,9999.999999999998
1237,45.23701678340332,0.4328799152581504,4328.799152610755,1.5102196723071655,9999.999999999998
1238,45.20731768338831,0.43338134035055736,4333.813403530978,1.5114424921695424,9999.999999999998
1239,45.17763915539889,0.433883075585914,4338.830755880753,1.5126652323459846,9999.999999999998
1240,45.14798119943509,0.43438512096422055,4343.85120966008,1.5138878928364918,10000.0
1241,45.118343815496864,0.43488747648547676,4348.87476486896,1.5151104736410637,9999.999999999998
1242,45.08872700358425,0.43539014214968286,4353.901421507391,1.5163329747597003,9999.999999999998
1243,45.05913076369724,0.43589311795683877,4358.931179575375,1.517555396192402,9999.999999999998
1244,45.029555095835825,0.43639640390694445,4363.964039072911,1.5187777379391683,10000.0
1245,45.0,0.4369,4369.0,1.52,10000.0
1246,44.97046547618979,0.43740390623600534,4374.039062356641,1.5212221823748964,9999.999999999998
1247,44.94095152440516,0.4379081226149605,4379.081226142834,1.5224442850638573,9999.999999999998
1248,44.91145814464614,0.4384126491368654,4384.126491358579,1.5236663080668835,10000.0
1249,44.88198533691271,0.43891748580172013,4389.174858003877,1.5248882513839743,10000.0
1250,44.852533101204884,0.43942263260952463,4394.226326078726,1.5261101150151302,10000.0
1251,44.823101437522666,0.43992808956027896,4399.280895583129,1.5273318989603508,10000.0
1252,44.79369034586604,0.44043385665398305,4404.338566517083,1.528553603219636,9999.999999999998
1253,44.76429982623502,0.4409399338906371,4409.39933888059,1.529775227792987,10000.0
1254,44.734929878629586,0.44144632127024086,4414.463212673649,1.5309967726804021,10000.0
1255,44.70558050304974,0.44195301879279436,4419.530187896259,1.5322182378818823,9999.999999999996
1256,44.67625169949552,0.4424600264582978,4424.600264548423,1.5334396233974277,10000.0
1257,44.646943467966885,0.4429673442667509,4429.673442630139,1.5346609292270372,10000.0
1258,44.61765580846384,0.4434749722181539,4434.749722141407,1.535882155370712,10000.0
1259,44.58838872098642,0.4439829103125067,4439.829103082227,1.5371033018284521,10000.0
1260,44.55914220553457,0.44449115854980925,4444.911585452599,1.5383243686002568,10000.0
1261,44.52991626210834,0.4449997169300617,4449.997169252524,1.5395453556861263,10000.0
1262,44.500710890707694,0.4455085854532639,4455.085854482001,1.5407662630860606,9999.999999999998
1263,44.47152609133265,0.44601776411941585,4460.17764114103,1.5419870908000597,9999.999999999996
1264,44.442361863983216,0.4465272529285177,4465.272529229613,1.543207838828124,9999.999999999998
1265,44.41321820865937,0.4470370518805693,4470.370518747746,1.5444285071702528,9999.999999999998
1266,44.38409512536113,0.44754716097557073,4475.471609695433,1.5456490958264468,10000.0
1267,44.35499261408848,0.448057580213522,4480.575802072671,1.5468696047967057,10000.0
1268,44.32591067484143,0.448568309594423,4485.683095879462,1.5480900340810293,10000.0
1269,44.29684930761999,0.4490793491182738,4490.7934911158045,1.549310383679418,10000.0
1270,44.26780851242414,0.44959069878507446,4495.906987781699,1.5505306535918715,9999.999999999998
1271,44.23878828925389,0.45010235859482495,4501.0235858771475,1.5517508438183896,10000.0
1272,44.20978863810924,0.45061432854752514,4506.143285402147,1.552970954358973,10000.0
1273,44.18080955899019,0.4511266086431752,4511.266086356699,1.5541909852136209,10000.0
1274,44.15185105189673,0.45163919888177506,4516.391988740803,1.555410936382334,9999.999999999998
1275,44.12291311682888,0.4521520992633248,4521.5209925544605,1.5566308078651119,10000.0
1276,44.093995753786615,0.4526653097878242,4526.653097797668,1.5578505996619545,9999.999999999998
1277,44.065098962769966,0.4531788304552735,4531.78830447043,1.5590703117728624,10000.0
1278,44.0362227437789,0.4536926612656726,4536.926612572743,1.5602899441978344,9999.999999999998
1279,44.007367096813454,0.4542068022190215,4542.068022104609,1.561509496936872,10000.0
1280,43.97853202187359,0.4547212533153202,4547.2125330660265,1.5627289699899745,10000.0
1281,43.94971751895933,0.4552360145545687,4552.360145456997,1.5639483633571416,10000.0
1282,43.92092358807066,0.455751085936767,4557.510859277519,1.5651676770383736,9999.999999999998
1283,43.8921502292076,0.4562664674619151,4562.664674527595,1.5663869110336708,10000.0
1284,43.86339744237013,0.45678215913001297,4567.821591207221,1.5676060653430322,10000.0
1285,43.83466522755827,0.4572981609410607,4572.981609316401,1.568825139966459,10000.0
1286,43.805953584772,0.4578144728950583,4578.144728855132,1.5700441349039505,10000.0
1287,43.777262514011326,0.4583310949920055,4583.310949823414,1.5712630501555067,9999.999999999998
1288,43.74859201527626,0.4588480272319027,4588.480272221252,1.5724818857211282,10000.0
1289,43.719942088566796,0.45936526961474966,4593.652696048641,1.5737006416008148,10000.0
1290,43.69131273388292,0.45988282214054643,4598.82822130558,1.5749193177945655,10000.0
1291,43.66270395122464,0.460400684809293,4604.006847992074,1.576137914302382,10000.0
1292,43.634115740591966,0.4609188576209894,4609.188576108119,1.5773564311242625,10000.0
1293,43.605548101984894,0.46143734057563557,4614.373405653716,1.5785748682602083,10000.0
1294,43.57700103540341,0.4619561336732314,4619.561336628865,1.5797932257102187,9999.999999999998
1295,43.54847454084753,0.4624752369137772,4624.752369033567,1.5810115034742942,9999.999999999998
1296,43.51996861831726,0.4629946502972728,4629.946502867822,1.5822297015524347,10000.0
1297,43.491483267812576,0.4635143738237182,4635.143738131628,1.58344781994464,10000.0
1298,43.46301848933349,0.46403440749311337,4640.344074824987,1.58466585865091,10000.0
1299,43.43457428288001,0.46455475130545837,4645.547512947897,1.5858838176712449,9999.999999999998
1300,43.406150648452126,0.4650754052607532,4650.7540525003615,1.5871016970056453,10000.0
1301,43.37774758604985,0.46559636935899784,4655.9636934823775,1.5883194966541099,10000.0
1302,43.34936509567315,0.4661176436001922,4661.1764358939445,1.5895372166166397,10000.0
1303,43.32100317732206,0.46663922798433644,4666.392279735064,1.5907548568932341,10000.0
1304,43.29266183099658,0.4671611225114305,4671.611225005738,1.5919724174838934,10000.0
1305,43.26434105669668,0.4676833271814742,4676.833271705961,1.593189898388618,9999.999999999998
1306,43.23604085442239,0.4682058419944679,4682.058419835739,1.594407299607407,10000.0
1307,43.207761224173694,0.4687286669504113,4687.286669395067,1.5956246211402612,9999.999999999998
1308,43.17950216595061,0.4692518020493046,4692.518020383949,1.5968418629871803,10000.0
1309,43.15126367975311,0.4697752472911476,4697.752472802384,1.5980590251481641,10000.0
1310,43.12304576558121,0.47029900267594044,4702.990026650368,1.5992761076232127,9999.999999999998
1311,43.09484842343491,0.47082306820368314,4708.230681927907,1.6004931104123263,10000.0
1312,43.066671653314216,0.47134744387437566,4713.474438634998,1.6017100335155048,10000.0
1313,43.03851545521912,0.4718721296880179,4718.7212967716405,1.6029268769327483,10000.0
1314,43.01037982914961,0.47239712564460995,4723.971256337836,1.6041436406640566,9999.999999999998
1315,42.98226477510572,0.4729224317441518,4729.224317333584,1.60536032470943,10000.0
1316,42.954170293087415,0.47344804798664347,4734.480479758882,1.6065769290688676,10000.0
1317,42.92609638309471,0.473973974372085,4739.739743613734,1.6077934537423706,10000.0
1318,42.8980430451276,0.4745002109004762,4745.002108898138,1.6090098987299384,9999.999999999998
1319,42.87001027918609,0.47502675757181734,4750.267575612094,1.610226264031571,9999.999999999998
1320,42.84199808527019,0.47555361438610844,4755.536143755604,1.6114425496472689,10000.0
1321,42.814006463379876,0.476080781343349,4760.807813328664,1.6126587555770313,10000.0
1322,42.786035413515165,0.47660825844353955,4766.082584331278,1.6138748818208586,9999.999999999998
1323,42.75808493567606,0.4771360456866799,4771.360456763443,1.615090928378751,10000.0
1324,42.730155029862544,0.47766414307277005,4776.641430625161,1.616306895250708,10000.0
1325,42.70224569607463,0.47819255060180993,4781.925505916432,1.61752278243673,10000.0
1326,42.674356934312314,0.4787212682737997,4787.212682637253,1.6187385899368167,10000.0
1327,42.64648874457559,0.47925029608873915,4792.502960787628,1.6199543177509683,10000.0
1328,42.618641126864475,0.47977963404662854,4797.796340367555,1.6211699658791852,10000.0
1329,42.59081408117896,0.48030928214746776,4803.092821377035,1.6223855343214666,10000.0
1330,42.56300760751904,0.4808392403912567,4808.392403816065,1.6236010230778128,10000.0
1331,42.53522170588472,0.4813695087779955,4813.6950876846495,1.6248164321482246,10000.0
1332,42.507456376276,0.481900087307684,4819.000872982786,1.6260317615327007,10000.0
1333,42.479711618692875,0.48243097598032236,4824.309759710473,1.6272470112312416,10000.0
1334,42.45198743313535,0.48296217479591064,4829.621747867714,1.6284621812438473,10000.0
1335,42.42428253833324,0.4834937043498239,4834.937043408252,1.6296772871390561,10000.0
1336,42.396589246665485,0.4840256882143145,4840.256882054561,1.6308924223280958,10000.0
1337,42.36890627686191,0.4845581469847578,4845.58146976039,1.6321076023795045,9999.999999999998
1338,42.341233628922495,0.48509108066115364,4850.910806525734,1.6333228272932818,10000.0
1339,42.313571302847265,0.48562448924350216,4856.244892350598,1.634538097069428,10000.000000000002
1340,42.28591929863619,0.48615837273180335,4861.583727234976,1.6357534117079429,10000.0
1341,42.25827761628929,0.4866927311260571,4866.9273111788725,1.636968771208827,10000.0
1342,42.23064625580657,0.4872275644262635,4872.275644182288,1.6381841755720794,10000.0
1343,42.20302521718802,0.4877628726324226,4877.628726245221,1.6393996247977014,10000.0
1344,42.17541450043363,0.48829865574453424,4882.986557367669,1.6406151188856917,9999.999999999998
1345,42.14781410554343,0.48883491376259863,4888.349137549637,1.6418306578360509,10000.000000000002
1346,42.1202240325174,0.48937164668661554,4893.71646679112,1.6430462416487792,10000.000000000002
1347,42.09264428135554,0.48990885451658517,4899.088545092122,1.6442618703238763,10000.000000000002
1348,42.06507485205784,0.49044653725250736,4904.4653724526415,1.6454775438613425,10000.0
1349,42.03751574462433,0.49098469489438223,4909.846948872678,1.646693262261177,10000.000000000002
1350,42.00996695905498,0.4915233274422097,4915.233274352231,1.6479090255233804,10000.0
1351,41.98242849534979,0.4920624348959897,4920.624348891301,1.6491248336479527,10000.0
1352,41.95490035350879,0.49260201725572256,4926.020172489891,1.650340686634894,10000.000000000002
1353,41.92738253353196,0.49314207452140796,4931.420745147997,1.6515565844842044,10000.0
1354,41.8998750354193,0.4936826066930459,4936.82606686562,1.652772527195883,10000.0
1355,41.872377859170804,0.49422361377063656,4942.23613764276,1.6539885147699305,10000.000000000002
1356,41.84489100478648,0.4947650957541799,4947.650957479419,1.6552045472063475,10000.0
1357,41.81741447226634,0.49530705264367575,4953.070526375594,1.6564206245051332,10000.000000000002
1358,41.78994826161036,0.49584948443912436,4958.494844331288,1.6576367466662874,10000.000000000002
1359,41.76249237281856,0.4963923911405255,4963.923911346498,1.6588529136898105,10000.0
1360,41.73504680589093,0.49693577274787926,4969.357727421225,1.6600691255757025,10000.000000000002
1361,41.70761156082748,0.4974796292611858,4974.79629255547,1.6612853823239633,10000.0
1362,41.68018663762819,0.4980239606804449,4980.239606749234,1.6625016839345934,10000.000000000002
1363,41.65277203629307,0.4985687670056565,4985.687670002512,1.6637180304075914,10000.0
1364,41.62536775682213,0.4991140482368209,4991.14048231531,1.6649344217429591,10000.0
1365,41.59797379921536,0.49965980437393787,4996.598043687625,1.6661508579406956,10000.000000000002
1366,41.57059016347276,0.5002060354170075,5002.060354119458,1.6673673390008008,10000.000000000002
1367,41.54321684959434,0.5007527413660297,5007.527413610807,1.6685838649232745,10000.0
1368,41.515853857580076,0.5012999222210046,5012.999222161674,1.6698004357081173,10000.0
1369,41.48850118743,0.5018475779819321,5018.475779772059,1.671017051355329,10000.0
1370,41.46115883914408,0.5023957086488122,5023.95708644196,1.6722337118649098,10000.0
1371,41.433826812722344,0.5029443142216451,5029.443142171379,1.6734504172368592,10000.0
1372,41.40650510816477,0.5034933947004304,5034.933946960316,1.6746671674711773,10000.000000000002
1373,41.37919372547137,0.5040429500851684,5040.429500808768,1.6758839625678643,9999.999999999998
1374,41.35189266464216,0.5045929803758592,5045.929803716743,1.6771008025269203,10000.000000000002
1375,41.3246019256771,0.5051434855725023,5051.43485568423,1.678317687348345,10000.0
1376,41.29732150857622,0.5056944656750983,5056.944656711236,1.6795346170321386,9999.999999999998
1377,41.270051413339516,0.506245920683647,5062.45920679776,1.6807515915783013,10000.000000000002
1378,41.24279163996697,0.5067978505981481,5067.978505943801,1.6819686109868326,10000.0
1379,41.21554218845861,0.5073502554186021,5073.50255414936,1.6831856752577328,10000.0
1380,41.18830305881442,0.5079031351450085,5079.031351414435,1.684402784391002,10000.000000000002
1381,41.16107425103439,0.5084564897773676,5084.564897739028,1.6856199383866397,10000.0
1382,41.13385576511854,0.5090103193156793,5090.103193123139,1.6868371372446462,10000.0
1383,41.10664760106687,0.5095646237599437,5095.646237566767,1.688054380965022,10000.000000000002
1384,41.079449758879356,0.5101194031101608,5101.194031069913,1.6892716695477665,10000.000000000002
1385,41.052262238556025,0.5106746573663303,5106.746573632576,1.6904890029928794,10000.000000000002
1386,41.025085040096855,0.5112303865284527,5112.303865254756,1.6917063813003617,10000.0
1387,40.99791816350188,0.5117865905965276,5117.8659059364545,1.692923804470213,10000.000000000004
1388,40.970761608771056,0.5123432695705551,5123.432695677669,1.6941412725024327,10000.0
1389,40.94361537590441,0.5129004234505353,5129.0042344784015,1.6953587853970213,10000.000000000002
1390,40.916479464901926,0.513458052236468,5134.5805223386515,1.6965763431539786,10000.0
1391,40.88935387576362,0.5140161559283535,5140.1615592584185,1.697793945773305,10000.000000000002
1392,40.86223860848949,0.5145747345261915,5145.747345237703,1.6990115932550003,10000.000000000002
1393,40.83513366307953,0.5151337880299822,5151.337880276505,1.7002292855990644,10000.0
1394,40.80803903953374,0.5156933164397255,5156.933164374824,1.7014470228054972,10000.0
1395,40.78095473785213,0.5162533197554215,5162.533197532662,1.7026648048742992,10000.000000000002
1396,40.753880758034676,0.5168137979770702,5168.137979750015,1.7038826318054696,10000.0
1397,40.72681710008141,0.5173747511046713,5173.747511026887,1.7051005035990094,10000.000000000002
1398,40.69976376399231,0.5179361791382253,5179.361791363276,1.7063184202549173,10000.0
1399,40.67272074976738,0.5184980820777317,5184.980820759182,1.7075363817731948,10000.0
1400,40.64568805740662,0.5190604599231908,5190.604599214606,1.7087543881538407,10000.000000000002
1401,40.61866568691004,0.5196233126746027,5196.2331267295485,1.7099724393968558,10000.000000000002
1402,40.59165363827762,0.520186640331967,5201.866403304006,1.7111905355022392,10000.0
1403,40.56465191150939,0.5207504428952842,5207.504428937983,1.712408676469992,10000.000000000002
1404,40.53766050660531,0.5213147203645538,5213.147203631476,1.7136268623001134,10000.0
1405,40.51067942356542,0.5218794727397761,5218.7947273844875,1.7148450929926038,10000.000000000002
1406,40.483708662389695,0.5224447000209511,5224.447000197016,1.7160633685474629,10000.000000000002
1407,40.45674822307813,0.5230104022080786,5230.10402206906,1.7172816889646905,10000.0
1408,40.42979810563076,0.5235765793011588,5235.765793000624,1.7185000542442876,10000.000000000002
1409,40.402858310047534,0.5241432313001915,5241.432312991704,1.719718464386253,10000.0
1410,40.375928836328505,0.5247103582051771,5247.103582042303,1.7209369193905877,10000.0
1411,40.349009684473636,0.5252779600161152,5252.779600152418,1.7221554192572912,10000.000000000002
1412,40.322100854482954,0.525846036733006,5258.460367322051,1.7233739639863634,10000.000000000002
1413,40.29520234635642,0.5264145883558493,5264.145883551202,1.7245925535778044,10000.000000000002
1414,40.268314160094064,0.5269836148846453,5269.836148839868,1.7258111880316143,10000.0
1415,40.24143629569589,0.5275531163193939,5275.531163188053,1.727029867347793,10000.0
1416,40.21456875316188,0.5281230926600952,5281.2309265957565,1.7282485915263408,10000.000000000002
1417,40.187711532492045,0.5286935439067492,5286.935439062976,1.7294673605672573,10000.000000000002
1418,40.16086463368638,0.5292644700593556,5292.644700589713,1.7306861744705426,10000.0
1419,40.13402805674489,0.5298358711179149,5298.358711175968,1.731905033236197,10000.000000000002
1420,40.107201801667564,0.5304077470824266,5304.07747082174,1.7331239368642195,10000.0
1421,40.08038586845442,0.5309800979528909,5309.800979527028,1.7343428853546115,10000.000000000002
1422,40.05358025710544,0.5315529237293081,5315.529237291836,1.735561878707372,10000.000000000002
1423,40.026784967620635,0.5321262244116777,5321.262244116158,1.7367809169225015,10000.0
1424,40.0,0.5327,5327.0,1.738,10000.0
1425,39.97322535424353,0.5332742504942749,5332.742504943359,1.7392191279398672,10000.0
1426,39.946461030351244,0.5338489758945026,5338.489758946236,1.7404383007421036,10000.000000000002
1427,39.91970702832313,0.5344241762006828,5344.241762008629,1.7416575184067087,10000.000000000004
1428,39.89296334815919,0.5349998514128157,5349.998514130541,1.7428767809336823,10000.0
1429,39.86622998985941,0.5355760015309011,5355.760015311969,1.7440960883230248,10000.0
1430,39.83950695342381,0.5361526265549392,5361.526265552915,1.7453154405747364,10000.0
1431,39.812794238852376,0.53672972648493,5367.297264853379,1.7465348376888166,9999.999999999998
1432,39.786091846145126,0.5373073013208736,5373.07301321336,1.7477542796652659,10000.000000000004
1433,39.759399775302036,0.5378853510627695,5378.853510632857,1.7489737665040839,10000.0
1434,39.73271802632312,0.5384638757106182,5384.638757111874,1.750193298205271,10000.000000000002
1435,39.70604659920838,0.5390428752644194,5390.428752650407,1.7514128747688265,10000.000000000002
1436,39.6793854939578,0.5396223497241733,5396.223497248457,1.7526324961947513,10000.000000000002
1437,39.65273471057141,0.54020229908988,5402.022990906025,1.7538521624830448,10000.000000000002
1438,39.62609424904919,0.5407827233615391,5407.827233623109,1.7550718736337072,10000.000000000002
1439,39.599464109391135,0.541363622539151,5413.636225399714,1.7562916296467384,10000.000000000004
1440,39.57284429159724,0.5419449966227154,5419.449966235832,1.7575114305221384,10000.000000000002
1441,39.54623479566752,0.5425268456122324,5425.26845613147,1.758731276259907,10000.000000000002
1442,39.51963562160199,0.5431091695077023,5431.091695086625,1.759951166860045,10000.0
1443,39.49304676940062,0.5436919683091247,5436.919683101297,1.7611711023225514,10000.000000000004
1444,39.46646823906343,0.5442752420164996,5442.752420175488,1.7623910826474272,10000.000000000004
1445,39.4399000305904,0.5448589906298272,5448.589906309194,1.763611107834671,10000.000000000002
1446,39.41334214398155,0.5454432141491075,5454.432141502419,1.7648311778842842,10000.000000000004
1447,39.386794579236856,0.5460279125743402,5460.279125755159,1.7660512927962657,10000.0
1448,39.36025733635635,0.5466130859055258,5466.130859067419,1.7672714525706166,10000.000000000002
1449,39.333730415340014,0.5471987341426641,5471.987341439196,1.7684916572073364,10000.000000000002
1450,39.30721381618785,0.5477848572857548,5477.848572870489,1.7697119067064246,10000.0
1451,39.280707538899854,0.5483714553347983,5483.7145533613,1.7709322010678823,10000.0
1452,39.254211583476035,0.5489585282897942,5489.585282911629,1.7721525402917084,10000.0
1453,39.22772594991638,0.5495460761507429,5495.460761521475,1.7733729243779033,10000.000000000002
1454,39.201250638220905,0.5501340989176443,5501.3409891908395,1.7745933533264673,10000.0
1455,39.1747856483896,0.5507225965904983,5507.225965919721,1.7758138271374002,10000.000000000002
1456,39.148330980422465,0.5513115691693048,5513.115691708119,1.7770343458107014,10000.0
1457,39.12188663431951,0.5519010166540641,5519.010166556035,1.7782549093463722,10000.000000000002
1458,39.09545261008071,0.5524909390447759,5524.909390463468,1.7794755177444115,10000.000000000002
1459,39.06902890770609,0.5530813363414403,5530.813363430418,1.7806961710048193,10000.0
1460,39.04261552719564,0.5536722085440575,5536.722085456886,1.7819168691275964,10000.0
1461,39.01621246854937,0.5542635556526273,5542.635556542872,1.7831376121127425,10000.000000000002
1462,38.98981973176727,0.5548553776671497,5548.553776688375,1.784358399960257,10000.000000000002
1463,38.96343731684933,0.5554476745876247,5554.476745893395,1.7855792326701405,10000.000000000002
1464,38.93706522379557,0.5560404464140521,5560.404464157932,1.7868001102423927,10000.0
1465,38.910703452605986,0.5566336931464325,5566.336931481987,1.788021032677014,10000.0
1466,38.884352003280576,0.5572274147847656,5572.274147865561,1.7892419999740046,10000.0
1467,38.858010875819325,0.5578216113290511,5578.21611330865,1.7904630121333636,10000.000000000002
1468,38.831680070222255,0.5584162827792892,5584.1628278112585,1.7916840691550913,10000.000000000002
1469,38.80535958648935,0.55901142913548,5590.114291373382,1.7929051710391877,10000.0
1470,38.779049424620624,0.5596070503976235,5596.070503995024,1.7941263177856532,10000.000000000002
1471,38.75274958461607,0.5602031465657196,5602.031465676184,1.7953475093944877,10000.000000000002
1472,38.72646006647568,0.5607997176397683,5607.997176416861,1.796568745865691,10000.000000000002
1473,38.70018087019947,0.5613967636197696,5613.967636217056,1.7977900271992628,10000.000000000004
1474,38.67391199578743,0.5619942845057236,5619.942845076766,1.799011353395204,10000.000000000002
1475,38.647653443239555,0.5625922802976302,5625.922802995996,1.8002327244535135,10000.000000000004
1476,38.62140521255586,0.5631907509954895,5631.907509974742,1.801454140374192,10000.000000000002
1477,38.59516730373633,0.5637896965993013,5637.896966013006,1.8026756011572393,10000.0
1478,38.568939716780974,0.5643891171090658,5643.891171110787,1.8038971068026555,10000.000000000002
1479,38.5427224516898,0.564989012524783,5649.890125268086,1.805118657310441,10000.000000000002
1480,38.516515508462774,0.5655893828464527,5655.893828484901,1.8063402526805943,10000.0
1481,38.490318887099946,0.5661902280740752,5661.9022807612355,1.8075618929131176,10000.000000000002
1482,38.46413258760127,0.5667915482076502,5667.915482097086,1.808783578008009,10000.0
1483,38.43795660996678,0.5673933432471779,5673.933432492455,1.81000530796527,10000.000000000002
1484,38.41179095419645,0.5679956131926581,5679.95613194734,1.8112270827848986,10000.0
1485,38.3856356202903,0.5685983580440912,5685.983580461743,1.812448902466897,10000.0
1486,38.35949060824832,0.5692015778014767,5692.015778035664,1.8136707670112642,10000.0
1487,38.33335591807052,0.5698052724648148,5698.052724669102,1.8148926764180002,10000.0
1488,38.30723154975688,0.5704094420341058,5704.094420362058,1.8161146306871052,10000.000000000002
1489,38.281117503307414,0.5710140865093493,5710.14086511453,1.8173366298185785,10000.0
1490,38.25501377872212,0.5716192058905454,5716.19205892652,1.8185586738124209,10000.0
1491,38.228920376001,0.5722248001776942,5722.248001798029,1.8197807626686329,10000.000000000002
1492,38.20283729514405,0.5728308693707955,5728.308693729052,1.821002896387213,10000.000000000002
1493,38.17676453615128,0.5734374134698496,5734.3741347195955,1.8222250749681617,10000.000000000002
1494,38.150702099022666,0.5740444324748561,5740.4443247696545,1.8234472984114793,10000.0
1495,38.12464998375824,0.5746519263858154,5746.519263879232,1.8246695667171662,10000.0
1496,38.09860819035798,0.5752598952027274,5752.598952048327,1.825891879885222,10000.000000000002
