12b,T°C,RT/R25,R2,U2,R1
96,139.09315033495778,0.024000524078186328,240.18031655752486,0.1174503862953086,10000.0
97,138.65248458423252,0.024258703346280455,242.7259633814673,0.11864589606917951,10000.0
98,138.22032488803785,0.024515494100375228,245.24193590219653,0.11982161692719481,10000.0
99,137.79667124637368,0.024770896340470635,247.72823411971228,0.1209775488693545,9999.999999999998
100,137.38152365924012,0.025024910066566687,250.18485803401484,0.12211369189565857,9999.999999999996
101,136.97295809103767,0.02527809545563126,252.6312120575388,0.12324351870553718,9999.999999999998
102,136.56905050616683,0.02553101268463222,255.08670060271885,0.12438050199842043,9999.999999999998
103,136.16980090462764,0.02578366175356958,257.55132366955496,0.12552464177430833,9999.999999999998
104,135.77520928642008,0.026036042662443325,260.0250812580472,0.12667593803320087,9999.999999999996
105,135.38527565154422,0.026288155411253466,262.5079733681955,0.12783439077509812,9999.999999999996
106,135.0,0.02654,265.0,0.129,10000.0
107,134.61938233178736,0.026791576428682923,267.5011611534605,0.1301727657079065,9999.999999999998
108,134.24342264690642,0.02704288469730224,270.01145682857714,0.13135268789881765,9999.999999999996
109,133.8721209453571,0.027293924805857954,272.53088702534984,0.1325397665727335,9999.999999999998
110,133.50547722713944,0.027544696754350055,275.0594517437787,0.133734001729654,9999.999999999996
111,133.14349149225345,0.027795200542778557,277.5971509838637,0.13493539336957916,10000.0
112,132.786163740699,0.028045436171143433,280.1439847456046,0.13614394149250889,9999.999999999996
113,132.4334939724763,0.028295403639444716,282.6999530290018,0.13735964609844337,9999.999999999996
114,132.08353873598924,0.02854617095919723,285.2681681275416,0.13858107943505357,9999.999999999998
115,131.7343545796418,0.02879880614191583,287.851742334711,0.1398068137500107,9999.999999999996
116,131.38594150343408,0.029053309187600507,290.45067565050994,0.14103684904331473,9999.999999999998
117,131.03829950736605,0.029309680096251258,293.0649680749382,0.1422711853149657,9999.999999999998
118,130.69142859143767,0.029567918867868095,295.694619607996,0.14350982256496356,9999.999999999998
119,130.345328755649,0.029828025502451005,298.33963024968324,0.14475276079330832,9999.999999999998
120,130.0,0.03009,301.0,0.146,10000.0
121,129.65544232449068,0.030353842360515075,303.6757288589462,0.1472515401850386,10000.0
122,129.311655729121,0.03061955258399622,306.3668168265218,0.14850738134842406,10000.0
123,128.96864021389104,0.030887130670443456,309.073263902727,0.14976752349015648,10000.0
124,128.6263957788007,0.031156576619856758,311.7950700875615,0.15103196661023577,9999.999999999998
125,128.2849224238501,0.03142789043223615,314.5322353810256,0.15230071070866202,10000.0
126,127.94422014903918,0.03170107210758162,317.28475978311917,0.15357375578543517,10000.0
127,127.60428895436789,0.03197612164589317,320.05264329384215,0.15485110184055517,10000.0
128,127.26551729191618,0.03225271122041895,322.83255862746,0.15613175018290212,10000.0
129,126.93023587416337,0.03252887387064793,325.6045420695651,0.15740970866575582,10000.000000000002
130,126.59883315318926,0.032804281769828234,328.36526633442276,0.15868397859799627,10000.000000000002
131,126.2713091289939,0.03307893491795991,331.114731422033,0.15995455997962352,10000.0
132,125.94766380157729,0.03335283331504291,333.85293733239587,0.16122145281063752,10000.000000000002
133,125.62789717093948,0.03362597696107727,336.57988406551135,0.16248465709103826,10000.000000000002
134,125.31200923708035,0.03389836585606296,339.2955716213794,0.16374417282082576,10000.0
135,125.0,0.03417,342.0,0.165,10000.0
136,124.69186945969838,0.03444087939288839,344.6931692013733,0.16625213862856103,10000.0
137,124.38761761617555,0.03471100403472813,347.3750792254992,0.16750058870650883,10000.0
138,124.08724446943143,0.0349803739255192,350.04573007237764,0.1687453502338434,10000.0
139,123.79075001946606,0.035248989065261624,352.70512174200866,0.16998642321056467,10000.0
140,123.49813426627944,0.03551684945395539,355.35325423439235,0.17122380763667275,10000.0
141,123.20939720987158,0.0357839550916005,357.99012754952855,0.17245750351216757,10000.0
142,122.92453885024244,0.03605030597819696,360.61574168741737,0.17368751083704914,10000.0
143,122.64355918739209,0.03631590211374476,363.23009664805886,0.17491382961131752,10000.000000000002
144,122.36645822132044,0.0365807434982439,365.83319243145286,0.17613645983497261,10000.0
145,122.09265458311745,0.036844825784020985,368.4280612412308,0.17735572067998642,10000.0
146,121.82156690387298,0.03710814462340257,371.01773528102393,0.17857193131833088,10000.0
147,121.55319518358702,0.037370700016388675,373.60221455083223,0.179785091750006,10000.000000000004
148,121.28753942225954,0.03763249196297928,376.18149905065553,0.18099520197501168,9999.999999999998
